CAMPO;DESCRIPCION;TIPO;LONGITUD;POSICION INICIAL;POSICION FINAL
CIV;Código de Identificación de la Vivienda;VARCHAR2;24;1;24
CPRO_INE;Código de Provincia (INE);NUMBER;2;25;26
CMUN_INE;Código de Municipio (INE);NUMBER;3;27;29
CPRO_MEH;Código de Delegación del MEH;NUMBER;2;30;31
CMUN_DGC;Código del Municipio (Según DGC);NUMBER;3;32;34
NENT;Nombre de la entidad menor, en caso de existir;VARCHAR2;50;35;84
CVIA_DGC;Código de vía pública (DGC);NUMBER;5;85;89
TVIA_DGC;Tipo de vía o sigla pública;VARCHAR2;2;90;91
NVIA_DGC;Nombre de la vía pública;VARCHAR2;70;92;161
NUMER;Primer número de policía;VARCHAR2;5;162;166
LETR;Primera letra.;VARCHAR2;1;167;167
NUMERS;Segundo número de policía;VARCHAR2;5;168;172
LETRS;Segunda letra.;VARCHAR2;1;173;173
KMT;Kilómetro;VARCHAR2;5;174;178
BLO;Bloque FIN14;VARCHAR2;3;179;181
ESC;Escalera FIN14;VARCHAR2;2;182;183
PLANTA;Planta FIN14;VARCHAR2;2;184;185
PUERTA;Puerta FIN14;VARCHAR2;3;186;188
COOR_X;Coordenada X FIN11 MÁS DEPURACIONES;NUMBER;8;189;196
COOR_Y;Coordenada X FIN11 MÁS DEPURACIONES;NUMBER;9;197;205
HUSO;;VARCHAR2;10;206;215
CVIA_INE;Código de Vía INE;NUMBER;5;216;220
